Strategy,S&P_sectors,industry,international,SMB_HML,FF-1-factor,FF-4-factor
EW,0.0305,0.0216,0.0293,0.0237,0.0162,0.0198
MV (in sample),,,,,,
MV,38.99,606594.36,4475.81,2.83,10466.1,3553.03
BS,22.41,10621.23,1777.22,1.85,11796.47,3417.81
DM,1.72,21744.35,60.97,76.3,918.4,32.46
MIN,6.54,21.65,7.3,1.11,45.47,6.83
VW,0.0,0.0,0.0,0.0,0.0,0.0
MP,1.1,11.98,6.29,59.41,2.39,2.07
MV-C,4.53,7.17,7.23,4.12,17.53,13.82
BS-C,3.64,7.22,6.1,3.65,17.32,13.07
MIN-C,2.47,2.58,2.27,1.11,3.93,1.76
G-MIN-C,1.3,1.52,1.47,1.09,1.78,1.7
MV-MIN,19.82,9927.09,760.57,2.61,4292.16,4857.19
EW-MIN,4.82,15.66,4.24,1.11,34.1,6.8
